[LOG] System::create                           : Header version = 2.01.09. Current version = 2.01.09.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20109 (115889), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x8000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 000002B7C3921F48 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[LOG] SoundI::release                          : Lava_flow_2 (000002B839F7C638)
[LOG] SoundI::release                          :     Lava_flow_2 (000002B7F114A1C8)
[LOG] SoundI::release                          :     Lava_flow_2 (000002B839F72CA8)
[LOG] SoundI::release                          : Bonfire_1 (000002B839F7DDD8)
[LOG] SoundI::release                          :     Bonfire_1 (000002B7F114A6A8)
[LOG] SoundI::release                          :     Bonfire_1 (000002B839F6EFE8)
[LOG] SoundI::release                          : Bonfire_1 (000002B839F7BF78)
[LOG] SoundI::release                          :     Bonfire_1 (000002B7F11475E8)
[LOG] SoundI::release                          :     Bonfire_1 (000002B839F74958)
[LOG] SoundI::release                          : Bonfire_1 (000002B7EDE9B4E8)
[LOG] SoundI::release                          :     Bonfire_1 (000002B7F114AEC8)
[LOG] SoundI::release                          :     Bonfire_1 (000002B839F73D88)
[LOG] SoundI::release                          : Bonfire_1 (000002B7EDE9AAC8)
[LOG] SoundI::release                          :     Bonfire_1 (000002B7F114A9E8)
[LOG] SoundI::release                          :     Bonfire_1 (000002B839F71D78)
[LOG] SoundI::release                          : Bonfire_1 (000002B7EDE999E8)
[LOG] SoundI::release                          :     Bonfire_1 (000002B7F114AD28)
[LOG] SoundI::release                          :     Bonfire_1 (000002B839F73BD8)
[LOG] SoundI::release                          : Bonfire_1 (000002B7EDE94588)
[LOG] SoundI::release                          :     Bonfire_1 (000002B7F114AB88)
[LOG] SoundI::release                          :     Bonfire_1 (000002B839F6FBB8)
[LOG] SoundI::release                          : Bonfire_1 (000002B7EDE94FA8)
[LOG] SoundI::release                          :     Bonfire_1 (000002B7F114A848)
[LOG] SoundI::release                          :     Bonfire_1 (000002B839F6E5C8)
[LOG] SoundI::release                          : Bonfire_1 (000002B839F7BA68)
[LOG] SoundI::release                          :     Bonfire_1 (000002B7F114B208)
[LOG] SoundI::release                          :     Bonfire_1 (000002B839F71F28)
[LOG] SoundI::release                          : Bonfire_1 (000002B7EDE94078)
[LOG] SoundI::release                          :     Bonfire_1 (000002B7F1148628)
[LOG] SoundI::release                          :     Bonfire_1 (000002B7EDE9AC78)
